0x00,0x04,2430,ControLinc 
0x00,0x05,2440,RemoteLinc 
0x00,0x06,2830,ICON Tabletop Controller 
0x00,0x09,2442,SignaLinc RF Signal Enhancer 
0x00,0x0B,2443,Access Point (Wireless Phase Coupler) 
0x00,0x0C,12005,IES Color Touchscreen 
0x00,0x0E,2440EZ,RemoteLinc EZ 
0x00,0x10,2444A2xx4,"RemoteLinc 2 Keypad, 4 Scene "
0x00,0x11,2444A3xx,RemoteLinc 2 Switch 
0x00,0x12,2444A2xx8,"RemoteLinc 2 Keypad, 8 Scene "
0x00,0x13,2993-222,Insteon Diagnostics Keypad 
0x00,0x14,2342-432,Insteon Mini Remote - 4 Scene (869 MHz) 
0x00,0x15,2342-442,Insteon Mini Remote - Switch (869 MHz) 
0x00,0x16,2342-422,Insteon Mini Remote - 8 Scene (869 MHz) 
0x00,0x17,2342-532,Insteon Mini Remote - 4 Scene (921 MHz) 
0x00,0x18,2342-522,Insteon Mini Remote - 8 Scene (921 MHz) 
0x00,0x19,2342-542,Insteon Mini Remote - Switch (921 MHz) 
0x00,0x1A,2342-222,Insteon Mini Remote - 8 Scene (915 MHz) 
0x00,0x1B,2342-232,Insteon Mini Remote - 4 Scene (915 MHz) 
0x00,0x1C,2342-242,Insteon Mini Remote - Switch (915 MHz) 
0x00,0x1D,2992-222,Range Extender 
0x01,0x00,2456D3,LampLinc 3-Pin 
0x01,0x01,2476D,SwitchLinc Dimmer 
0x01,0x02,2475D,In-LineLinc Dimmer 
0x01,0x03,2876DB,ICON Dimmer Switch 
0x01,0x04,2476DH,SwitchLinc Dimmer (High Wattage) 
0x01,0x05,2484DWH8,Keypad Countdown Timer w/ Dimmer 
0x01,0x06,2456D2,LampLinc Dimmer (2-Pin) 
0x01,0x07,2856D2B,ICON LampLinc 
0x01,0x08,2476DT,SwitchLinc Dimmer Count-down Timer 
0x01,0x09,2486D,KeypadLinc Dimmer 
0x01,0x0A,2886D,Icon In-Wall Controller 
0x01,0x0B,2632-422,"Insteon Dimmer Module, France (869 MHz) "
0x01,0x0C,2486DWH8,KeypadLinc Dimmer 
0x01,0x0D,2454D,SocketLinc 
0x01,0x0E,2457D2,LampLinc (Dual-Band) 
0x01,0x0F,2632-432,"Insteon Dimmer Module, Germany (869 MHz) "
0x01,0x11,2632-442,"Insteon Dimmer Module, UK (869 MHz) "
0x01,0x12,2632-522,"Insteon Dimmer Module, Aus/NZ (921 MHz) "
0x01,0x13,2676D-B,ICON SwitchLinc Dimmer Lixar/Bell Canada 
0x01,0x17,2466D,ToggleLinc Dimmer 
0x01,0x18,2474D,Icon SwitchLinc Dimmer Inline Companion 
0x01,0x19,2476D,SwitchLinc Dimmer [with beeper] 
0x01,0x1A,2475D,In-LineLinc Dimmer [with beeper] 
0x01,0x1B,2486DWH6,KeypadLinc Dimmer 
0x01,0x1C,2486DWH8,KeypadLinc Dimmer 
0x01,0x1D,2476DH,SwitchLinc Dimmer (High Wattage)[beeper] 
